Input,Type,Device,Connectivity,Relationship
Private,Mobile,SmartPhone,"Wifi,Bluetooth,GSM","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
Private,Mobile,Tablet,"Wifi,Bluetooth,GSM","1,2,3,4"
Private,Mobile,Car,"Wifi,Bluetooth,GSM","1,2,7,8,10,13"
Private,Mobile,Fitbit,"Bluetooth,ZigBee","1,2,3,14"
Private,Mobile,SmartWatch,"Bluetooth,ZigBee","1,2,3,4,11"
Private,Static,HomeDoor sensor,Wifi,"1,2,4"
Private,Static,Printer,Wifi,"1,2,4"
Private,Static,Pc,Wifi,"1,2,4"
Public,Mobile,Point of Interest,Wifi,"1,2,3,11,12,13,16"
Public,Mobile,Environmet_Weather,Wifi,"1,2,5"
Public,Mobile,Transportation,Wifi,"1,2,3,4,7,8,10,11,12,13,16"
Public,Mobile,Garbage Truck,Wifi,"1,2,3,4,7,8,10,11,12,13,16"
Public,Mobile,Indicator,Wifi,"1,2,3,4,8,13"
Public,Static,Street Light,ZigBee,"1,2,3,4,7,9"
Public,Static,Parking,Wifi,"1,2,4,13"
Public,Static,Alarms,ZigBee,"1,2,8"
