Service id,Service_name,Sensors
1,Location,"GPS"
2,Date Time,"System Time"
3,Poi Event,"GPS"
4,People Presence,"Electronic gadget"
5,Environment,"CO2,Sound,Temperature"
6,Weather,"Wind,Solar Radiation"
7,Energy consumption,"SDR"
8,Traffic Status,"Doppler sensors"
9,Street light,"LDR"
10,Movement,"Accelerometer,Gyroscope"
11,People counter,"3D MLI"
12,Garbage truck status,"Level Indicator"
13,Parking Status,"PLS"
14,Medical data,"Thermal sensor,Pressure sensor,ECG"
15,Indoor data,"Presence,Temperature,Energy Consumption"
16,Garbage truck movement,"GPS"
