Device_id,Device,Device_type,Device_mobility,Device Distribution,Object_id,Owner_id,Owner_name,Manufacturing_id,Service_id,Application_id,Connectivity,GPS_Start,Link,Relationship,Application_id_sensor
D1,SmartPhone,Private,Mobile,,49,5,9WLEP87,8,"1,13",9,"Wifi,Bluetooth,GSM","64,42",,,
D2,SmartPhone,Private,Mobile,,18,48,ZY58FOT,16,"5,6,8,9,10",11,"Wifi,Bluetooth,GSM","483,235",,,
D3,SmartPhone,Private,Mobile,,15,42,SDFW07T,0,"4,5",21,"Wifi,Bluetooth,GSM","112,297",,,
D4,SmartPhone,Private,Mobile,,36,4,BI6QXAY,16,"1,2,5,6",26,"Wifi,Bluetooth,GSM","278,302",,,
D5,SmartPhone,Private,Mobile,,62,12,TCPUY1V,45,"5,6",13,"Wifi,Bluetooth,GSM","580,135",,,
D6,Car,Private,Mobile,,91,86,DOU8UAJ,22,7,3,"Wifi,Bluetooth,GSM","149,411",,,
D7,Car,Private,Mobile,,54,32,S3010ZV,68,16,7,"Wifi,Bluetooth,GSM","216,6",,,
D8,Car,Private,Mobile,,22,100,QCFNEI6,90,"4,5",12,"Wifi,Bluetooth,GSM","354,234",,,
D9,Car,Private,Mobile,,17,66,089EE6D,59,"1,5,8,10",4,"Wifi,Bluetooth,GSM","96,300",,,
D10,Car,Private,Mobile,,35,17,5H8ISJO,42,"1,4",24,"Wifi,Bluetooth,GSM","71,458",,,
D11,Printer,Private,Static,,6,29,3ANEREI,58,"12,16",23,Wifi,"529,484",,,
D12,Printer,Private,Static,,70,52,XXE69RG,46,"1,2,5,6",26,Wifi,"658,3",,,
D13,Printer,Private,Static,,0,18,YMC935S,61,"5,6,7",19,Wifi,"371,162",,,
D14,Street Light,Public,Static,,35,18,YRC5589,30,"1,2,10,11",5,ZigBee,"99,198",,,
D15,Street Light,Public,Static,,72,18,JME5AEJ,87,"1,2,10,11",5,ZigBee,"254,614",,,
D16,Street Light,Public,Static,,95,1,PJICSTT,38,"5,8,10",1,ZigBee,"654,526",,,
D17,Garbage Truck,Public,Mobile,,48,25,12CQ1FV,67,"4,8,9",2,Wifi,"328,388",,,
D18,Garbage Truck,Public,Mobile,,73,79,H3UL59U,14,"5,6,8,9,10",11,Wifi,"12,81",,,
D19,SmartWatch,Private,Mobile,,44,19,467J72C,87,"4,8,9",2,"Bluetooth,ZigBee","269,142",,,
D20,SmartWatch,Private,Mobile,,41,53,3BH49TY,89,"1,5",6,"Bluetooth,ZigBee","86,429",,,
D21,SmartWatch,Private,Mobile,,1,67,U6BV6P6,91,"5,8,10",1,"Bluetooth,ZigBee","162,531",,,
D22,SmartWatch,Private,Mobile,,51,39,OA2DW9I,47,"5,6",13,"Bluetooth,ZigBee","636,197",,,
D23,Tablet,Private,Mobile,,48,93,HVEXNMQ,92,"5,6",13,"Wifi,Bluetooth,GSM","470,71",,,
D24,Tablet,Private,Mobile,,27,3,3LKGZB8,87,"1,5",6,"Wifi,Bluetooth,GSM","385,241",,,
D25,Alarms,Public,Static,,77,66,DP8CI9H,93,"1,2,5,6",26,ZigBee,"534,384",,,
D26,Alarms,Public,Static,,38,20,6ROZCI8,57,"4,5",12,ZigBee,"673,584",,,
D27,Alarms,Public,Static,,96,85,ONUSVQ4,75,16,7,ZigBee,"380,529",,,
