Device_id,Move1,Intersection1,Move2,Intersection2,Move3,Intersection3,Move4,Intersection4,Move5,Intersection5
D1,"81,7",,"71,38",,"67,16",,"6,24",,"48,101",
D2,"407,163","D13:Wifi,D23:Wifi","402,88",,"346,38","D23:Wifi,D23:GSM","265,122",,"260,65","D7:Wifi,D7:GSM"
D3,"132,197",D18:Wifi,"230,217",D24:Wifi,"184,310","D10:Wifi,D10:Bluetooth,D10:GSM","222,388",D6:Wifi,"315,335","D8:Wifi,D8:GSM,D17:Wifi"
D4,"336,389",D17:Wifi,"432,317",,"495,220",,"501,229",D5:Wifi,"501,225","D5:Wifi,D5:GSM"
D5,"545,122",,"580,205",,"596,140",,"563,236",,"500,181",
D6,"108,459",D21:Bluetooth,"173,453",,"249,378",,"158,380","D10:Wifi,D10:GSM","160,470","D10:Wifi,D10:GSM"
D7,"159,80",,"178,53",,"237,75",,"222,21",,"202,52",D18:Wifi
D8,"272,229",,"305,161",D13:Wifi,"217,195","D24:Wifi,D24:Bluetooth,D24:GSM","250,215",,"309,286",D17:Wifi
D9,"169,333",,"149,319","D10:Wifi,D10:GSM","104,280",D10:Wifi,"133,279",D24:Wifi,"70,238",
D10,"90,373",D20:Bluetooth,"122,364",,"153,327",,"118,364",,"143,425",
D11,"529,484",,"529,484",,"529,484",,"529,484",,"529,484",
D12,"658,3",,"658,3",,"658,3",,"658,3",,"658,3",
D13,"371,162",,"371,162",,"371,162",,"371,162",,"371,162",
D14,"99,198",,"99,198",,"99,198",,"99,198",,"99,198",
D15,"254,614",,"254,614",,"254,614",,"254,614",,"254,614",
D16,"654,526",,"654,526",,"654,526",,"654,526",,"654,526",
D17,"278,369",,"349,312",,"396,277",,"368,256",,"340,272",
D18,"89,173",,"143,197",,"92,165",,"152,136",,"166,85",
D19,"227,105",,"137,91",,"108,190",,"149,181",,"150,152",
D20,"82,346",,"16,439",,"21,452",,"90,512",,"95,457",
D21,"72,471",,"2,499",,"99,507",,"180,487",,"126,577",
D22,"587,239",,"618,310",,"554,339",,"579,355",,"605,266",
D23,"437,93",,"470,23",,"389,26",,"392,65",,"472,5",
D24,"358,285",,"288,250",,"206,220",,"200,294",,"211,378",
D25,"534,384",,"534,384",,"534,384",,"534,384",,"534,384",
D26,"673,584",,"673,584",,"673,584",,"673,584",,"673,584",
D27,"380,529",,"380,529",,"380,529",,"380,529",,"380,529",
