Device_id,Move1,Intersection1,Move2,Intersection2,Move3,Intersection3
D1,"305,145",D10:Wifi,"309,201",,"277,230","D6:Wifi,D6:Bluetooth,D6:GSM"
D2,"566,536",,"614,614",,"618,621",
D3,"473,538",,"383,508",,"462,415",
D4,"54,355","D8:Wifi,D8:GSM","153,452","D5:Wifi,D5:GSM","191,515",
D5,"218,381",,"201,451",,"125,427",
D6,"355,277",,"384,241",,"296,220",
D7,"542,356",D9:Wifi,"471,275",,"507,179",
D8,"21,382",,"60,293",,"104,314",
D9,"499,408",,"567,310",,"568,333",
D10,"361,121",,"298,69",,"211,110",
D11,"394,373",,"420,356",,"389,334",
