Device_id,Device_id_to,Device,Device_type,Device_mobility,Owner_id,Manufacturing_id,Application_id,Connectivity,X_GPS,Y_GPS,Intersection,Distance,Relation
D1,D2,0,1,1,0,0,8,1,510,238,0,530.9,0
D1,D3,0,1,1,0,0,8,1,510,238,0,586.26,0
D1,D4,0,1,1,0,0,8,1,510,238,0,370.28,0
D1,D5,0,1,1,0,0,8,1,510,238,1,55.22,6
D1,D6,0,1,1,0,0,8,1,510,238,1,126.57,3
D1,D7,0,1,1,0,0,8,1,510,238,0,475.62,4
D1,D8,0,1,1,0,0,8,1,510,238,0,323.87,3
D1,D9,0,1,1,0,0,8,1,510,238,0,321.45,3
D2,D1,0,1,1,0,0,26,1,12,54,0,530.9,0
D2,D3,0,1,1,0,0,26,1,12,54,0,570.66,0
D2,D4,0,1,1,0,0,26,1,12,54,3,182.22,2
D2,D5,0,1,1,0,0,26,1,12,54,0,577.36,0
D2,D6,0,1,1,0,0,26,1,12,54,0,490.91,4
D2,D7,0,1,1,0,0,26,1,12,54,0,341.39,3
D2,D8,0,1,1,0,0,26,1,12,54,0,543.41,4
D2,D9,0,1,1,0,0,26,1,12,54,0,674.84,4
D3,D1,0,1,1,0,0,3,1,67,622,0,586.26,0
D3,D2,0,1,1,0,0,3,1,67,622,0,570.66,0
D3,D4,0,1,1,0,0,3,1,67,622,0,590.81,0
D3,D5,0,1,1,0,0,3,1,67,622,0,583.56,0
D3,D6,0,1,1,0,0,3,1,67,622,0,460.04,4
D3,D7,0,1,1,0,0,3,1,67,622,1,230.11,3
D3,D8,0,1,1,0,0,3,1,67,622,0,281.35,3
D3,D9,0,1,1,0,0,3,1,67,622,0,401.46,4
D4,D1,0,1,1,0,0,10,1,194,45,0,370.28,0
D4,D2,0,1,1,0,0,10,1,194,45,0,182.22,0
D4,D3,0,1,1,0,0,10,1,194,45,0,590.81,0
D4,D5,0,1,1,1,0,10,1,194,45,0,421.6,0
D4,D6,0,1,1,0,0,10,1,194,45,0,361.39,3
D4,D7,0,1,1,0,0,10,1,194,45,0,371.97,3
D4,D8,0,1,1,0,0,10,1,194,45,0,473.36,4
D4,D9,0,1,1,0,0,10,1,194,45,0,577.48,4
D5,D1,0,1,1,0,0,10,1,542,283,0,55.22,0
D5,D2,0,1,1,0,0,10,1,542,283,0,577.36,0
D5,D3,0,1,1,0,0,10,1,542,283,0,583.56,0
D5,D4,0,1,1,0,0,10,1,542,283,0,421.6,0
D5,D6,0,1,1,0,0,10,1,542,283,0,129.69,3
D5,D7,0,1,1,0,0,10,1,542,283,0,494.17,4
D5,D8,0,1,1,0,0,10,1,542,283,0,310.43,3
D5,D9,0,1,1,0,0,10,1,542,283,0,284.2,3
D6,D1,1,1,1,0,0,19,1,420,327,0,126.57,3
D6,D2,1,1,1,0,0,19,1,420,327,0,490.91,4
D6,D3,1,1,1,0,0,19,1,420,327,0,460.04,4
D6,D4,1,1,1,0,0,19,1,420,327,0,361.39,3
D6,D5,1,1,1,0,0,19,1,420,327,0,129.69,3
D6,D7,1,1,1,0,0,19,1,420,327,0,365.82,0
D6,D8,1,1,1,0,0,19,1,420,327,0,200.19,0
D6,D9,1,1,1,0,0,19,1,420,327,0,233.0,0
D7,D1,1,1,1,0,0,16,1,60,392,0,475.62,4
D7,D2,1,1,1,0,0,16,1,60,392,0,341.39,3
D7,D3,1,1,1,0,0,16,1,60,392,0,230.11,3
D7,D4,1,1,1,0,0,16,1,60,392,0,371.97,3
D7,D5,1,1,1,0,0,16,1,60,392,0,494.17,4
D7,D6,1,1,1,0,0,16,1,60,392,0,365.82,0
D7,D8,1,1,1,0,0,16,1,60,392,0,282.85,0
D7,D9,1,1,1,0,0,16,1,60,392,0,435.09,0
D8,D1,1,1,1,0,0,5,1,321,501,0,323.87,3
D8,D2,1,1,1,0,0,5,1,321,501,0,543.41,4
D8,D3,1,1,1,0,0,5,1,321,501,0,281.35,3
D8,D4,1,1,1,0,0,5,1,321,501,0,473.36,4
D8,D5,1,1,1,0,0,5,1,321,501,0,310.43,3
D8,D6,1,1,1,0,0,5,1,321,501,0,200.19,0
D8,D7,1,1,1,0,0,5,1,321,501,0,282.85,0
D8,D9,1,1,1,0,0,5,1,321,501,0,152.28,0
D9,D1,1,1,1,0,0,9,1,463,556,0,321.45,3
D9,D2,1,1,1,0,0,9,1,463,556,0,674.84,4
D9,D3,1,1,1,0,0,9,1,463,556,0,401.46,4
D9,D4,1,1,1,0,0,9,1,463,556,0,577.48,4
D9,D5,1,1,1,0,0,9,1,463,556,0,284.2,3
D9,D6,1,1,1,0,0,9,1,463,556,0,233.0,0
D9,D7,1,1,1,0,0,9,1,463,556,0,435.09,0
D9,D8,1,1,1,0,0,9,1,463,556,0,152.28,0
