Device_id,Device_id_to,Device,Device_type,Device_mobility,Owner_id,Manufacturing_id,Application_id,Connectivity,X_GPS,Y_GPS,Intersection,Distance,Relation
D1,D2,0,1,1,0,0,1,1,269,37,0,405.23,0
D1,D3,0,1,1,0,0,1,1,269,37,0,436.18,0
D1,D4,0,1,1,0,0,1,1,269,37,1,68.01,6
D1,D5,0,1,1,0,0,1,1,269,37,0,231.81,0
D1,D6,0,1,1,0,0,1,1,269,37,0,261.84,3
D1,D7,0,1,1,0,0,1,1,269,37,0,356.67,3
D1,D8,0,1,1,0,0,1,1,269,37,1,270.63,3
D1,D9,0,1,1,0,0,1,1,269,37,0,399.32,3
D1,D10,0,1,1,0,0,1,1,269,37,0,562.97,4
D1,D11,0,1,1,0,0,1,0,269,37,0,256.14,0
D1,D12,0,1,1,0,0,1,0,269,37,0,291.5,0
D2,D1,0,1,1,0,0,9,1,622,236,0,405.23,0
D2,D3,0,1,1,0,0,9,1,622,236,0,258.15,0
D2,D4,0,1,1,0,0,9,1,622,236,0,341.71,0
D2,D5,0,1,1,0,0,9,1,622,236,3,197.43,2
D2,D6,0,1,1,0,0,9,1,622,236,0,276.56,3
D2,D7,0,1,1,0,0,9,1,622,236,0,339.0,3
D2,D8,0,1,1,0,0,9,1,622,236,0,512.39,4
D2,D9,0,1,1,0,0,9,1,622,236,0,419.72,4
D2,D10,0,1,1,0,0,9,1,622,236,0,539.48,4
D2,D11,0,1,1,0,0,9,0,622,236,0,275.54,0
D2,D12,0,1,1,0,0,9,0,622,236,0,224.72,0
D3,D1,0,1,1,0,0,11,1,454,432,0,436.18,0
D3,D2,0,1,1,0,0,11,1,454,432,0,258.15,0
D3,D4,0,1,1,0,0,11,1,454,432,0,371.4,0
D3,D5,0,1,1,0,0,11,1,454,432,0,350.53,0
D3,D6,0,1,1,0,0,11,1,454,432,0,179.25,3
D3,D7,0,1,1,0,0,11,1,454,432,0,140.43,3
D3,D8,0,1,1,0,0,11,1,454,432,0,386.41,3
D3,D9,0,1,1,0,0,11,1,454,432,0,201.04,3
D3,D10,0,1,1,0,0,11,1,454,432,0,285.27,3
D3,D11,0,1,1,0,0,11,0,454,432,0,184.17,0
D3,D12,0,1,1,0,0,11,0,454,432,0,425.42,0
D4,D1,0,1,1,0,0,1,1,314,88,0,68.01,0
D4,D2,0,1,1,0,0,1,1,314,88,0,341.71,0
D4,D3,0,1,1,0,0,1,1,314,88,0,371.4,0
D4,D5,0,1,1,0,0,1,1,314,88,0,182.04,0
D4,D6,0,1,1,0,0,1,1,314,88,0,201.25,3
D4,D7,0,1,1,0,0,1,1,314,88,0,302.06,3
D4,D8,0,1,1,0,0,1,1,314,88,0,264.27,3
D4,D9,0,1,1,1,0,1,1,314,88,0,353.31,3
D4,D10,0,1,1,0,0,1,1,314,88,0,518.23,4
D4,D11,0,1,1,0,0,1,0,314,88,0,195.35,0
D4,D12,0,1,1,0,0,1,0,314,88,0,255.23,0
D5,D1,0,1,1,0,0,11,1,496,84,0,231.81,0
D5,D1,0,1,1,0,0,1,1,496,84,0,231.81,0
D5,D2,0,1,1,0,0,11,1,496,84,0,197.43,0
D5,D2,0,1,1,0,0,1,1,496,84,0,197.43,0
D5,D3,0,1,1,0,0,11,1,496,84,0,350.53,0
D5,D3,0,1,1,0,0,1,1,496,84,0,350.53,0
D5,D4,0,1,1,0,0,11,1,496,84,0,182.04,0
D5,D4,0,1,1,0,0,1,1,496,84,0,182.04,0
D5,D6,0,1,1,0,0,11,1,496,84,0,249.24,3
D5,D6,0,1,1,0,0,1,1,496,84,0,249.24,3
D5,D7,0,1,1,0,0,11,1,496,84,0,353.0,3
D5,D7,0,1,1,0,0,1,1,496,84,0,353.0,3
D5,D8,0,1,1,0,0,11,1,496,84,0,422.59,4
D5,D8,0,1,1,0,0,1,1,496,84,0,422.59,4
D5,D9,0,1,1,0,0,11,1,496,84,0,427.73,4
D5,D9,0,1,1,0,0,1,1,496,84,0,427.73,4
D5,D10,0,1,1,0,0,11,1,496,84,0,582.47,4
D5,D10,0,1,1,0,0,1,1,496,84,0,582.47,4
D5,D11,0,1,1,0,0,11,0,496,84,0,244.4,0
D5,D11,0,1,1,0,0,1,0,496,84,0,244.4,0
D5,D12,0,1,1,0,0,11,0,496,84,0,90.51,0
D5,D12,0,1,1,0,0,1,0,496,84,0,90.51,0
D6,D1,1,1,1,0,0,11,1,350,286,0,261.84,3
D6,D2,1,1,1,0,0,11,1,350,286,0,276.56,3
D6,D3,1,1,1,0,0,11,1,350,286,0,179.25,3
D6,D4,1,1,1,0,0,11,1,350,286,0,201.25,3
